feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45
survival_rate_ct,0.0962952457082759,0.0754732079138571,0.08139648990960877,0.033479320816174316,0.14923747845593627,-0.1908422238214244,-0.049405265758453554,-0.06763518828867454,0.013915658892185823,-0.09404843272015259,-0.04937764593721161,-0.03703300073079807,0.20640134775328067,0.021170011533672005,0.006556594121670978,0.13570084573196808,0.07758346739993628,0.018522287562342733,-0.02099031606389319,0.04805448565176963,0.055956235235212336,-0.03030026947760235,0.05073244762729634,-0.06418484910328587,-0.06251719081660684,-0.07091680206136652,0.05847605520147903,0.12628671313596126,0.03562140782489444,0.005317205293483365,0.024201066422310624,-0.00912704349821468,-0.06299860870099318,-0.10448299321836291,0.028955080205098904,-0.06806706869264835,-0.0017877627882224856,0.03786056335879488,0.038618674926037974,-0.045664260231469696,0.013563113561871721,0.048407446974876374,-0.06809267289260411,0.08926134008422537,0.14438709328168195
survival_rate_t,0.062177494354012104,0.12515307787176716,0.03857762565506352,-0.08727271640612427,0.009640147276457879,0.061911251075236484,-0.23088094146811092,-0.14509699078625743,0.10154874357211102,0.09992898190951216,-0.07679550455915013,-0.02047640535241388,-0.17551282423434506,0.09628594641480312,0.0025797854249833274,0.13123853240721922,-0.09826097335400272,0.14300497115732397,-0.0019324807115148057,-0.033883027506369456,-0.005897740831140433,-0.14095821573039927,0.011216051120732692,0.14040151992108277,-0.016428234384030058,-0.08236846635424704,-0.047744556538582866,-0.09375346962833297,0.12875282126341317,-0.07991502043778012,0.08525865187776524,-0.14069333360945496,0.005332331519872138,-0.034666105519144584,0.1541446313329882,0.012072343961923318,0.1517350206459443,0.017147985565940375,-0.03644105532884734,-0.03224863097012939,0.03296033465254061,0.0975551865860262,-0.06547666015980992,0.002279570941862638,0.028727706783961214
damage_ct,0.1469422725482459,0.038013337361532604,0.0031477853320573375,0.056652123082016136,-0.06685459782857592,0.0319798691264247,-0.03131168955308733,0.007568203339463453,0.007281473822736695,0.015224554888257164,0.016974829687549077,-0.012963496870847128,0.02285016615222575,-0.02336294452320543,0.018810185879366476,-0.029177778981911644,0.0228859576347824,0.0019426568544586784,-0.022197508350847852,0.03180199601352181,0.004102926511478755,0.06603268160635592,0.013853405089544267,0.007560957826390269,-0.019073287304845952,0.0661834182167306,0.04762275080164893,-0.03977327421666943,-0.03622254886826809,-0.016793292331740393,0.044675317850572216,0.008967854492016904,-0.0162896123064473,-0.005982934341452516,0.029609955999233065,0.02998628065324109,-0.03376822273340385,-0.036231112405551005,-0.034263540541053655,-0.0771919083015693,0.04142775683337176,-0.028941519970491686,-0.030726156846552527,-0.033052827010376123,-0.051779873646201374
damage_t,0.14662989478186347,0.02295853549177244,-0.045567947250445905,-0.061108041761350554,-0.032128291804018994,-0.02860251117719892,0.031079448076671068,-0.022889641212792855,0.009896060548180208,-0.01182279398786592,-0.017901553014349703,0.02274907330457973,-0.012167259755105315,-0.009670964297139626,-0.025300394938995774,0.03835614880116453,0.04423767202940939,-0.01847153366611326,-0.0418987075431034,-0.04398990102334614,-0.013317419046807874,-0.03999565986850537,-0.03984831799237944,-0.05835285250256206,0.03470175880875542,0.00793770591821959,-0.04260113937957984,0.02104432759130437,-0.03955792684371984,-0.04073260793596642,-0.035666860367890796,-0.026052445183787562,0.041120307861914486,0.05880460123884987,-0.006380856787235371,-0.00369851521254258,-0.05632601620582876,-0.025632660988972437,0.014447815571502164,0.04132148683979856,-0.010011114589706285,-0.03319802870978969,0.07570896909652991,-0.022554012601672432,0.023329370511982625
awpy_damage_ct,0.14844922282962983,-0.00360516797760705,0.005720004948524203,0.05902767761201943,-0.06343453352734779,0.024237947842879443,-0.045177441091738685,0.0021571835655454508,-0.007258161695165634,-0.003456306532211767,-0.0015268005297926768,-0.014647088025918853,0.0017857664486367886,-0.04131524079439078,0.03792080483516955,-0.04496656689704322,-0.011410789786650569,0.0006835126588572021,-0.014371851109721112,0.03722299409570745,-0.012578449192342883,0.0349124905126733,0.006227989058252234,0.021735446933301622,-0.02270366255061798,0.022544150122679907,0.054054295741562536,-0.023282263379939404,-0.01955142853976488,-0.021576849157318667,0.037034541661572086,0.020842561364289497,-0.033034290595085516,-0.017244662050124614,0.03734857680691303,0.017235527937747894,-0.0026241021722792747,-0.010605002239772635,-0.012724181356693896,-0.09241613845228348,0.05154174998054474,-0.02406775283026022,-0.025647512024508073,-0.008067460304903837,-0.04780195009421544
awpy_damage_t,0.14758449634309595,-0.0014706314094703968,-0.04261768604902541,-0.05760117984944257,-0.030692673539543115,-0.035262237307760055,0.024100422026912816,-0.02641709324563668,0.023014164607923104,-0.016302559805946443,-0.03135332307827905,0.028319250293508305,-0.01058342197727527,-0.01048627276471232,-0.025529610612672615,0.03949015178834433,0.03968531864736565,-0.03330172151285234,-0.03535079326048341,-0.026729866093102676,-0.015981310616832223,-0.017065617569823367,-0.03834233494504356,-0.04504792572996546,0.041572710061563274,-0.0007790161398021633,-0.01181115196561866,0.00519441193999603,0.001435376813798822,-0.055738457072444,-0.0443998007771514,-0.02249671523643361,0.055887927184829045,0.04536162438405488,-0.007292204165281535,-0.023625910577006852,-0.03207867719342444,0.005629203298195672,-0.009030354428715987,0.05419646914386583,-0.037286226478328285,-0.01747360293299538,0.08805842878298259,-0.04122910278960156,-0.014473647230475242
damage_taken_ct,0.1385343869321135,-0.043567232579317855,0.021620127096782047,0.00691948829755863,-0.15599243310941116,0.03846326602625955,-0.04222395970799531,-0.00481498394552754,-0.0029420433818243413,0.025388626419054428,-0.001986461733603978,-0.014918223038062922,0.028871770263394297,-6.891989621529704e-05,0.04228720362965177,-0.04610813071759297,-0.07183345304396425,-0.01816918389290803,-0.010507180419162043,0.00904704849022081,-0.06250011112861618,0.03681672251769927,0.021144110982813217,0.04809747210450874,0.01860671569956361,-0.011475481527232472,0.0411516691710196,-0.06845942484323611,-0.010266249957395335,0.02103694805237309,0.033886089652625434,0.0025567165956291195,-0.05383628849067875,0.0625096111203765,-0.003791273575812021,0.020976660371239714,-0.03797546450715905,0.024604543963432098,0.007225772619510127,-0.14055201031917658,0.014144245504131472,-0.010137906948128293,-0.02282331726627186,0.022433594600968443,0.09473646139300139
damage_taken_t,0.14524013305666547,-0.03407999813900052,0.027322128053354613,0.020064391997155137,-0.0751479411286455,-0.06614356449700536,0.013390054623825948,-0.00198834245024776,-0.011349158186897454,-0.042816418088923,-0.018233516506347018,0.01658035459830609,0.001217637116091852,-0.02270733759499506,-0.00935134595969457,0.03718351645249811,0.010702272501580887,-0.04267070367613745,0.046359719571191005,-0.010972073822173856,-0.05745998070168884,-0.07467113772630894,-0.02792986262315891,-0.10680416990986448,0.02050007233113882,0.011011801712563218,-0.025186398367971208,-0.012292611791519928,0.03779757163875145,-0.041049169483823866,-0.018152313768118655,-0.03049876156816715,0.026164569656235273,0.07314542728548008,0.05477855270436279,-0.023678890696822524,0.05964557572594725,0.04112567669053187,0.008408401767968345,0.08893041495640308,0.02691226268729363,0.005698425782611011,0.04918405727742763,-0.006516674050624332,-0.02084061906481554
damage_per_round_ct,0.06334863098903364,0.1500773976316708,-0.07790110019975485,0.18202214937566327,0.1269689835051704,0.07585830096470772,-0.0015475583791746024,0.02740427550774073,-0.00472362056320251,0.1285164231981475,-0.006763967956293589,0.005677428582359201,-0.10961446805237726,-0.07097778045609314,-0.05568656071160703,-0.08121596128386507,0.014159774829283892,-0.01298956339629806,0.07652761747723869,-0.006479990037150815,-0.010852121440837206,0.03322630078182748,0.003920644678097225,-0.00040445456511396805,0.017712346320794187,0.0874229592726549,-0.015939239871454153,-0.05747907484027649,0.03391414964196407,-0.014334696919448973,-0.06210670317115209,0.1206629143540664,0.0705161590436624,0.14667683861902348,0.005739428175329728,0.05000911028828856,-0.023658538541222296,-0.020111027786352674,-0.06730844254869475,-0.011852342112982864,0.05120737555061808,0.07583234256685964,-0.16403986858227967,-0.18503452027911366,0.01962180103904211
damage_per_round_t,0.08156759770449244,0.051233252681701556,-0.17471532694298117,-0.17807762026831145,0.09620676283176464,0.007867602803529087,0.07935531965062827,0.004969381478064104,-0.08364060165238268,-0.016354491486521405,0.010168632373814185,0.04798180728562185,0.05579508363239699,-0.014297937665612465,-0.045084434402233614,-0.07239049339519,0.03099199170509208,-0.027590510721924172,-0.021082787980928108,-0.10384225935273694,-0.029262417733149443,0.024695176105104466,-0.009130184926219758,0.017789240647769516,-0.02662726957798038,-0.02330403584736589,-0.05747991256620436,-0.023125538352089265,-0.04009352751632311,-0.07138831891602684,-0.0321837596508397,0.005991872122076192,-0.07546513629869278,0.04424403246424324,0.010343002241018834,-0.07526733972149294,-0.01890974390424685,0.003060677802236792,0.03877505548067139,-0.024161530251879733,-0.07134400487363338,-0.05371772396592499,-0.05887074644197757,0.001766450045275654,0.11245360133381162
